"","Symbol","Name"
"125","ALJJ","ALJ Regional Holdings, Inc."
"126","ALKS","Alkermes plc"
"127","ALLK","Allakos Inc."
"128","ABTX","Allegiance Bancshares, Inc."
"129","ALGT","Allegiant Travel Company"
"130","ALGR","Allegro Merger Corp."
"131","ALGRR","Allegro Merger Corp."
"132","ALGRU","Allegro Merger Corp."
"133","ALGRW","Allegro Merger Corp."
"134","ALNA","Allena Pharmaceuticals, Inc."
"135","ARLP","Alliance Resource Partners, L.P."
"136","LNT","Alliant Energy Corporation"
"137","AHPI","Allied Healthcare Products, Inc."
"138","AMOT","Allied Motion Technologies, Inc."
"139","ALLO","Allogene Therapeutics, Inc."
"140","ALLT","Allot Ltd."
"141","MDRX","Allscripts Healthcare Solutions, Inc."
"142","ALNY","Alnylam Pharmaceuticals, Inc."
"143","AOSL","Alpha and Omega Semiconductor Limited"
"144","GOOG","Alphabet Inc."
"145","GOOGL","Alphabet Inc."
"146","SMCP","AlphaMark Actively Managed Small Cap ETF"
"147","ATEC","Alphatec Holdings, Inc."
"148","ALPN","Alpine Immune Sciences, Inc."
"149","AMR","Alta Mesa Resources, Inc."
"150","AMRWW","Alta Mesa Resources, Inc."
"151","AABA","Altaba Inc."
"152","ALTR","Altair Engineering Inc."
"153","ATHE","Alterity Therapeutics Limited"
"154","ALT","Altimmune, Inc."
"155","ASPS","Altisource Portfolio Solutions S.A."
"156","AIMC","Altra Industrial Motion Corp."
"157","ALTM","Altus Midstream Company"
"158","AMAG","AMAG Pharmaceuticals, Inc."
"159","AMAL","Amalgamated Bank"
"160","AMRN","Amarin Corporation plc"
"161","AMRK","A-Mark Precious Metals, Inc."
"162","AMZN","Amazon.com, Inc."
"163","AMBC","Ambac Financial Group, Inc."
"164","AMBCW","Ambac Financial Group, Inc."
"165","AMBA","Ambarella, Inc."
"166","AMCX","AMC Networks Inc."
"167","AMCI","AMCI Acquisition Corp."
"168","AMCIU","AMCI Acquisition Corp."
"169","AMCIW","AMCI Acquisition Corp."
"170","DOX","Amdocs Limited"
"171","AMED","Amedisys Inc"
"172","UHAL","Amerco"
"173","AMRH","Ameri Holdings, Inc."
"174","AMRHW","Ameri Holdings, Inc."
"175","ATAX","America First Multifamily Investors, L.P."
"176","AMOV","America Movil, S.A.B. de C.V."
"177","AAL","American Airlines Group, Inc."
"178","AETI","American Electric Technologies, Inc."
"179","AFIN","American Finance Trust, Inc."
"180","AFINP","American Finance Trust, Inc."
"181","AMNB","American National Bankshares, Inc."
"182","ANAT","American National Insurance Company"
"183","AOBC","American Outdoor Brands Corporation"
"184","APEI","American Public Education, Inc."
"185","AREC","American Resources Corporation"
"186","AMRB","American River Bankshares"
"187","AMSWA","American Software, Inc."
"188","AMSC","American Superconductor Corporation"
