"","X.https...finance.yahoo.com.quote.JPM.C.","X.."
"530","https://finance.yahoo.com/quote/JPT",""
"553","https://finance.yahoo.com/quote/OAK^A",""
"554","https://finance.yahoo.com/quote/OAK^B",""
"555","https://finance.yahoo.com/quote/OSLE",""
"564","https://finance.yahoo.com/quote/OFG^A",""
"565","https://finance.yahoo.com/quote/OFG^B",""
"566","https://finance.yahoo.com/quote/OFG^D",""
"568","https://finance.yahoo.com/quote/OIBR.C",""
"580","https://finance.yahoo.com/quote/OMAD.U",""
"581","https://finance.yahoo.com/quote/OMAD.WS",""
"620","https://finance.yahoo.com/quote/PRE^F",""
"621","https://finance.yahoo.com/quote/PRE^G",""
"622","https://finance.yahoo.com/quote/PRE^H",""
"623","https://finance.yahoo.com/quote/PRE^I",""
"631","https://finance.yahoo.com/quote/PEB^C",""
"632","https://finance.yahoo.com/quote/PEB^D",""
"633","https://finance.yahoo.com/quote/PEB^E",""
"634","https://finance.yahoo.com/quote/PEB^F",""
"637","https://finance.yahoo.com/quote/PEI^B",""
"638","https://finance.yahoo.com/quote/PEI^C",""
"639","https://finance.yahoo.com/quote/PEI^D",""
"642","https://finance.yahoo.com/quote/PMT^A",""
"643","https://finance.yahoo.com/quote/PMT^B",""
"656","https://finance.yahoo.com/quote/PBR.A",""
"676","https://finance.yahoo.com/quote/NRGX",""
"692","https://finance.yahoo.com/quote/PHD",""
"693","https://finance.yahoo.com/quote/PHT",""
"694","https://finance.yahoo.com/quote/MAV",""
"699","https://finance.yahoo.com/quote/PBI^B",""
"700","https://finance.yahoo.com/quote/PVT",""
"701","https://finance.yahoo.com/quote/PVT.U",""
"702","https://finance.yahoo.com/quote/PVT.WS",""
"712","https://finance.yahoo.com/quote/PNC^P",""
"713","https://finance.yahoo.com/quote/PNC^Q",""
"723","https://finance.yahoo.com/quote/PPX",""
"725","https://finance.yahoo.com/quote/PYS",""
"726","https://finance.yahoo.com/quote/PYT",""
"734","https://finance.yahoo.com/quote/PRIF^A",""
"735","https://finance.yahoo.com/quote/PRIF^B",""
"736","https://finance.yahoo.com/quote/PRIF^C",""
"743","https://finance.yahoo.com/quote/PBB",""
"744","https://finance.yahoo.com/quote/PBC",""
"745","https://finance.yahoo.com/quote/PBY",""
"749","https://finance.yahoo.com/quote/PJH",""
"750","https://finance.yahoo.com/quote/PRH",""
"751","https://finance.yahoo.com/quote/PRS",""
"754","https://finance.yahoo.com/quote/PUK^",""
"755","https://finance.yahoo.com/quote/PUK^A",""
"757","https://finance.yahoo.com/quote/PSB^U",""
"758","https://finance.yahoo.com/quote/PSB^V",""
"759","https://finance.yahoo.com/quote/PSB^W",""
"760","https://finance.yahoo.com/quote/PSB^X",""
"761","https://finance.yahoo.com/quote/PSB^Y",""
"765","https://finance.yahoo.com/quote/PSA^A",""
"766","https://finance.yahoo.com/quote/PSA^B",""
"767","https://finance.yahoo.com/quote/PSA^C",""
"768","https://finance.yahoo.com/quote/PSA^D",""
"769","https://finance.yahoo.com/quote/PSA^E",""
"770","https://finance.yahoo.com/quote/PSA^F",""
"771","https://finance.yahoo.com/quote/PSA^G",""
"772","https://finance.yahoo.com/quote/PSA^H",""
"773","https://finance.yahoo.com/quote/PSA^U",""
"774","https://finance.yahoo.com/quote/PSA^V",""
"775","https://finance.yahoo.com/quote/PSA^W",""
"776","https://finance.yahoo.com/quote/PSA^X",""
"777","https://finance.yahoo.com/quote/PSA^Z",""
"792","https://finance.yahoo.com/quote/QTS^A",""
"793","https://finance.yahoo.com/quote/QTS^B",""
"803","https://finance.yahoo.com/quote/QVCD",""
"804","https://finance.yahoo.com/quote/CTAA",""
"805","https://finance.yahoo.com/quote/CTBB",""
"806","https://finance.yahoo.com/quote/CTDD",""
"807","https://finance.yahoo.com/quote/CTV",""
"808","https://finance.yahoo.com/quote/CTY",""
"809","https://finance.yahoo.com/quote/CTZ",""
"818","https://finance.yahoo.com/quote/RYAM^A",""
"823","https://finance.yahoo.com/quote/RCA",""
"824","https://finance.yahoo.com/quote/RCP",""
"832","https://finance.yahoo.com/quote/RWGE.U",""
"833","https://finance.yahoo.com/quote/RWGE.WS",""
"836","https://finance.yahoo.com/quote/RF^A",""
"837","https://finance.yahoo.com/quote/RF^B",""
"838","https://finance.yahoo.com/quote/RF^C",""
"842","https://finance.yahoo.com/quote/RZB",""
"846","https://finance.yahoo.com/quote/RNR^C",""
"847","https://finance.yahoo.com/quote/RNR^E",""
"848","https://finance.yahoo.com/quote/RNR^F",""
"852","https://finance.yahoo.com/quote/RPLA.U",""
"853","https://finance.yahoo.com/quote/RPLA.WS",""
"864","https://finance.yahoo.com/quote/REXR",""
"865","https://finance.yahoo.com/quote/REXR^A",""
"866","https://finance.yahoo.com/quote/REXR^B",""
"868","https://finance.yahoo.com/quote/RXN^A",""
"874","https://finance.yahoo.com/quote/RMPL^",""
"875","https://finance.yahoo.com/quote/RMI",""
"876","https://finance.yahoo.com/quote/RIV",""
"880","https://finance.yahoo.com/quote/RLJ^A",""
"882","https://finance.yahoo.com/quote/RMG.U",""
"883","https://finance.yahoo.com/quote/RMG.WS",""
"894","https://finance.yahoo.com/quote/RY^T",""
"897","https://finance.yahoo.com/quote/RDS.A",""
"898","https://finance.yahoo.com/quote/RDS.B",""
"899","https://finance.yahoo.com/quote/RGT",""
"905","https://finance.yahoo.com/quote/RPT^D",""
"915","https://finance.yahoo.com/quote/SB^C",""
"916","https://finance.yahoo.com/quote/SB^D",""
"925","https://finance.yahoo.com/quote/SDT",""
"926","https://finance.yahoo.com/quote/SDR",""
"930","https://finance.yahoo.com/quote/SAB",""
"931","https://finance.yahoo.com/quote/SAF",""
"935","https://finance.yahoo.com/quote/BFS^C",""
"936","https://finance.yahoo.com/quote/BFS^D",""
"942","https://finance.yahoo.com/quote/SLTB",""
"943","https://finance.yahoo.com/quote/SBNA",""
"956","https://finance.yahoo.com/quote/SSW^D",""
"957","https://finance.yahoo.com/quote/SSW^E",""
"958","https://finance.yahoo.com/quote/SSW^G",""
"959","https://finance.yahoo.com/quote/SSW^H",""
"960","https://finance.yahoo.com/quote/SSW^I",""
"961","https://finance.yahoo.com/quote/SSWA",""
"963","https://finance.yahoo.com/quote/JBN",""
"964","https://finance.yahoo.com/quote/JBR",""
"970","https://finance.yahoo.com/quote/SRE^A",""
"971","https://finance.yahoo.com/quote/SRE^B",""
"976","https://finance.yahoo.com/quote/SRG^A",""
"992","https://finance.yahoo.com/quote/SPG^J",""
"996","https://finance.yahoo.com/quote/SITC^A",""
"997","https://finance.yahoo.com/quote/SITC^J",""
"998","https://finance.yahoo.com/quote/SITC^K",""
