"","X.https...finance.yahoo.com.quote.CAI.","X.http...www.capps.com."
"119","https://finance.yahoo.com/quote/LFC","http://www.e-chinalife.com"
"120","https://finance.yahoo.com/quote/CHL","http://www.chinamobileltd.com"
"121","https://finance.yahoo.com/quote/BORN","http://www.chinanewborun.com"
"123","https://finance.yahoo.com/quote/SNP","http://www.sinopec.com"
"124","https://finance.yahoo.com/quote/XRF","http://ir.crfchina.com"
"125","https://finance.yahoo.com/quote/ZNH","http://www.csair.com"
"126","https://finance.yahoo.com/quote/CHA","http://www.chinatelecom-h.com"
"127","https://finance.yahoo.com/quote/CHU","http://www.chinaunicom.com.hk"
"128","https://finance.yahoo.com/quote/CYD","http://www.cyilimited.com"
"129","https://finance.yahoo.com/quote/CMG","http://www.chipotle.com"
"130","https://finance.yahoo.com/quote/CHH","http://www.choicehotels.com"
"131","https://finance.yahoo.com/quote/CB","http://www.chubb.com"
"132","https://finance.yahoo.com/quote/CHT","http://www.cht.com.tw"
"133","https://finance.yahoo.com/quote/CHD","http://www.churchdwight.com"
"134","https://finance.yahoo.com/quote/CIEN","http://www.ciena.com"
"135","https://finance.yahoo.com/quote/CI","http://www.cigna.com"
"136","https://finance.yahoo.com/quote/XEC","http://www.cimarex.com"
"137","https://finance.yahoo.com/quote/CBB","http://www.cincinnatibell.com"
"139","https://finance.yahoo.com/quote/CNK","http://investors.cinemark.com"
"140","https://finance.yahoo.com/quote/CINR","http://www.ciner.us.com"
"141","https://finance.yahoo.com/quote/CIR","http://www.circor.com"
"142","https://finance.yahoo.com/quote/CISN","http://www.cision.com"
"143","https://finance.yahoo.com/quote/CIT","http://www.cit.com"
"144","https://finance.yahoo.com/quote/BLW","http://www.blackrock.com"
"145","https://finance.yahoo.com/quote/C","http://www.citigroup.com"
"150","https://finance.yahoo.com/quote/CFG","http://www.citizensbank.com"
"152","https://finance.yahoo.com/quote/CIA","http://www.citizensinc.com"
"153","https://finance.yahoo.com/quote/CIO","http://www.cityofficereit.com"
"155","https://finance.yahoo.com/quote/CVEO","http://civeo.com"
"157","https://finance.yahoo.com/quote/CLH","http://www.cleanharbors.com"
"158","https://finance.yahoo.com/quote/CCO","http://www.clearchanneloutdoor.com"
"159","https://finance.yahoo.com/quote/EMO","http://individualinvestor.myleggmason.com"
"160","https://finance.yahoo.com/quote/CEM","http://www.leggmason.com"
"161","https://finance.yahoo.com/quote/CTR","http://individualinvestor.myleggmason.com"
"162","https://finance.yahoo.com/quote/CLW","http://www.clearwaterpaper.com"
"163","https://finance.yahoo.com/quote/CWEN","http://investor.clearwayenergy.com"
"165","https://finance.yahoo.com/quote/CLF","http://www.clevelandcliffs.com"
"166","https://finance.yahoo.com/quote/CLPR","http://www.clipperrealty.com"
"167","https://finance.yahoo.com/quote/CLX","http://www.thecloroxcompany.com"
"168","https://finance.yahoo.com/quote/CLDR","http://www.cloudera.com"
"169","https://finance.yahoo.com/quote/CMS","http://www.cmsenergy.com"
"174","https://finance.yahoo.com/quote/CNA","http://www.cna.com"
"175","https://finance.yahoo.com/quote/CNF","http://www.cashchina.cn"
"176","https://finance.yahoo.com/quote/CNHI","http://www.cnhindustrial.com"
"177","https://finance.yahoo.com/quote/CNO","http://www.cnoinc.com"
"178","https://finance.yahoo.com/quote/CEO","http://www.cnoocltd.com"
"179","https://finance.yahoo.com/quote/CNXM","http://www.cnxmidstream.com"
"180","https://finance.yahoo.com/quote/CEIX","http://www.consolenergy.com"
"181","https://finance.yahoo.com/quote/CNX","http://www.cnx.com"
"182","https://finance.yahoo.com/quote/KOF","http://www.coca-colafemsa.com"
"183","https://finance.yahoo.com/quote/KO","http://www.coca-colacompany.com"
"185","https://finance.yahoo.com/quote/CDE","http://www.coeur.com"
"186","https://finance.yahoo.com/quote/FOF","http://www.cohenandsteers.com"
"187","https://finance.yahoo.com/quote/INB","http://www.cohenandsteers.com"
"188","https://finance.yahoo.com/quote/CNS","http://www.cohenandsteers.com"
"189","https://finance.yahoo.com/quote/UTF","http://www.cohenandsteers.com"
