"","X.https...finance.yahoo.com.quote.SJW.","X.http...www.sjwgroup.com."
"128","https://finance.yahoo.com/quote/SNX","http://www.synnexcorp.com"
"129","https://finance.yahoo.com/quote/SNV","http://www.synovus.com"
"135","https://finance.yahoo.com/quote/SYY","http://www.sysco.com"
"136","https://finance.yahoo.com/quote/SYX","http://www.systemax.com"
"137","https://finance.yahoo.com/quote/DATA","http://www.tableau.com"
"138","https://finance.yahoo.com/quote/TLRD","http://www.tailoredbrands.com"
"139","https://finance.yahoo.com/quote/TWN","http://www.thetaiwanfund.com"
"140","https://finance.yahoo.com/quote/TSM","http://www.tsmc.com"
"141","https://finance.yahoo.com/quote/TAK","http://www.takeda.com"
"142","https://finance.yahoo.com/quote/TAL","http://en.100tal.com"
"143","https://finance.yahoo.com/quote/TGE","http://www.tallgrassenergylp.com"
"144","https://finance.yahoo.com/quote/TALO","http://www.talosenergy.com"
"145","https://finance.yahoo.com/quote/SKT","http://www.tangeroutlet.com"
"146","https://finance.yahoo.com/quote/TPR","http://www.coach.com"
"148","https://finance.yahoo.com/quote/TRGP","http://www.targaresources.com"
"149","https://finance.yahoo.com/quote/TGT","http://investors.target.com"
"150","https://finance.yahoo.com/quote/TARO","http://www.taro.com"
"151","https://finance.yahoo.com/quote/TTM","http://www.tatamotors.com"
"152","https://finance.yahoo.com/quote/TCO","http://www.taubman.com"
"155","https://finance.yahoo.com/quote/TMHC","http://www.taylormorrison.com"
"156","https://finance.yahoo.com/quote/TRP","http://www.tcenergy.com"
"157","https://finance.yahoo.com/quote/TCP","http://www.tcpipelineslp.com"
"158","https://finance.yahoo.com/quote/TCF","http://www.tcfbank.com"
"160","https://finance.yahoo.com/quote/TSI","http://www.tcw.com"
"161","https://finance.yahoo.com/quote/TEL","http://www.te.com"
"162","https://finance.yahoo.com/quote/TISI","http://www.teaminc.com"
"163","https://finance.yahoo.com/quote/FTI","http://www.technipfmc.com"
"164","https://finance.yahoo.com/quote/TECK","http://www.teck.com"
"165","https://finance.yahoo.com/quote/TK","http://www.teekay.com"
"166","https://finance.yahoo.com/quote/TGP","http://www.teekay.com"
"169","https://finance.yahoo.com/quote/TOO","http://www.teekay.com"
"173","https://finance.yahoo.com/quote/TNK","http://www.teekay.com"
"174","https://finance.yahoo.com/quote/GCI","http://www.gannett.com"
"175","https://finance.yahoo.com/quote/TGNA","http://www.tegna.com"
"176","https://finance.yahoo.com/quote/TRC","http://tejonranch.com"
"177","https://finance.yahoo.com/quote/HQH","http://www.teklacap.com"
"178","https://finance.yahoo.com/quote/THQ","http://www.teklacap.com"
"179","https://finance.yahoo.com/quote/HQL","http://www.teklacap.com"
"180","https://finance.yahoo.com/quote/THW","http://www.teklacap.com"
"181","https://finance.yahoo.com/quote/TDOC","http://www.teladoc.com"
"182","https://finance.yahoo.com/quote/TLRA","http://www.telaria.com"
"183","https://finance.yahoo.com/quote/TEO","http://www.telecom.com.ar"
"184","https://finance.yahoo.com/quote/TI","http://www.telecomitalia.com"
"186","https://finance.yahoo.com/quote/TDY","http://www.teledyne.com"
"187","https://finance.yahoo.com/quote/TFX","http://www.teleflex.com"
"188","https://finance.yahoo.com/quote/VIV","http://www.telefonica.com.br"
"189","https://finance.yahoo.com/quote/TEF","http://www.telefonica.com"
"194","https://finance.yahoo.com/quote/TDS","http://www.tdsinc.com"
"195","https://finance.yahoo.com/quote/TU","http://www.telus.com"
"196","https://finance.yahoo.com/quote/TDF","http://www.franklintempleton.com"
"197","https://finance.yahoo.com/quote/EMF","http://www.franklintempleton.com"
"198","https://finance.yahoo.com/quote/TEI","http://www.franklintempleton.com"
"199","https://finance.yahoo.com/quote/GIM","http://www.franklintempleton.com"
"200","https://finance.yahoo.com/quote/TPX","http://www.tempursealy.com"
"201","https://finance.yahoo.com/quote/TS","http://www.tenaris.com"
"202","https://finance.yahoo.com/quote/TME","http://www.tencentmusic.com"
"203","https://finance.yahoo.com/quote/THC","http://www.tenethealth.com"
"204","https://finance.yahoo.com/quote/TNC","http://www.tennantco.com"
"205","https://finance.yahoo.com/quote/TEN","http://www.tenneco.com"
"208","https://finance.yahoo.com/quote/TDC","http://www.teradata.com"
"209","https://finance.yahoo.com/quote/TEX","http://www.terex.com"
"210","https://finance.yahoo.com/quote/TX","http://www.ternium.com"
"211","https://finance.yahoo.com/quote/TRNO","http://terreno.com"
"212","https://finance.yahoo.com/quote/TTI","http://www.tetratec.com"
"213","https://finance.yahoo.com/quote/TEVA","http://www.tevapharm.com"
"214","https://finance.yahoo.com/quote/TPL","http://www.tpltrust.com"
"215","https://finance.yahoo.com/quote/TGH","http://www.textainer.com"
"216","https://finance.yahoo.com/quote/TXT","http://www.textron.com"
"217","https://finance.yahoo.com/quote/AES","http://www.aes.com"
"218","https://finance.yahoo.com/quote/BX","http://www.blackstone.com"
"219","https://finance.yahoo.com/quote/CEE","http://fundsus.deutscheam.com"
"220","https://finance.yahoo.com/quote/SCHW","http://www.aboutschwab.com"
"223","https://finance.yahoo.com/quote/COO","http://www.coopercos.com"
"224","https://finance.yahoo.com/quote/GRX","http://www.gabelli.com"
"227","https://finance.yahoo.com/quote/GDL","http://www.gabelli.com"
"229","https://finance.yahoo.com/quote/THG","http://www.hanover.com"
"231","https://finance.yahoo.com/quote/MSG","http://www.themadisonsquaregardencompany.com"
"232","https://finance.yahoo.com/quote/RUBI","http://www.rubiconproject.com"
"233","https://finance.yahoo.com/quote/TRV","http://www.travelers.com"
"235","https://finance.yahoo.com/quote/TMO","http://www.thermofisher.com"
"236","https://finance.yahoo.com/quote/THR","http://www.thermon.com"
"237","https://finance.yahoo.com/quote/TPRE","http://www.thirdpointre.com"
