"","X.https...finance.yahoo.com.quote.JPM.C.","X.."
"119","https://finance.yahoo.com/quote/LW","http://www.lambweston.com"
"120","https://finance.yahoo.com/quote/LCI","http://www.lannett.com"
"121","https://finance.yahoo.com/quote/LPI","http://www.laredopetro.com"
"122","https://finance.yahoo.com/quote/LVS","http://www.sands.com"
"123","https://finance.yahoo.com/quote/LTM","http://www.latamairlinesgroup.net"
"124","https://finance.yahoo.com/quote/LGI","http://www.lazardnet.com"
"125","https://finance.yahoo.com/quote/LAZ","http://www.lazard.com"
"126","https://finance.yahoo.com/quote/LOR","http://www.lazardnet.com"
"127","https://finance.yahoo.com/quote/LZB","http://www.la-z-boy.com"
"128","https://finance.yahoo.com/quote/LCII","http://www.lci1.com"
"129","https://finance.yahoo.com/quote/LEAF","http://www.leafgroup.com"
"130","https://finance.yahoo.com/quote/LEA","http://www.lear.com"
"131","https://finance.yahoo.com/quote/LEE","http://www.lee.net"
"132","https://finance.yahoo.com/quote/LGC","http://www.legacyacquisition.com"
"135","https://finance.yahoo.com/quote/LM","http://www.leggmason.com"
"138","https://finance.yahoo.com/quote/LEG","http://www.leggett.com"
"143","https://finance.yahoo.com/quote/LDOS","http://www.leidos.com"
"144","https://finance.yahoo.com/quote/LEJU","http://www.leju.com"
"145","https://finance.yahoo.com/quote/LC","http://www.lendingclub.com"
"146","https://finance.yahoo.com/quote/LEN","http://www.lennar.com"
"148","https://finance.yahoo.com/quote/LII","http://www.lennoxinternational.com"
"152","https://finance.yahoo.com/quote/LEVI","http://www.levistrauss.com"
"153","https://finance.yahoo.com/quote/LXP","http://www.lxp.com"
"156","https://finance.yahoo.com/quote/USA","http://www.all-starfunds.com"
"157","https://finance.yahoo.com/quote/ASG","http://www.all-starfunds.com"
"158","https://finance.yahoo.com/quote/LBRT","http://www.libertyfrac.com"
"159","https://finance.yahoo.com/quote/LPT","http://www.libertyproperty.com"
"160","https://finance.yahoo.com/quote/LSI","http://www.lifestorage.com"
"161","https://finance.yahoo.com/quote/LITB","http://www.lightinthebox.com"
