#SIC #Occurrence #Percentage #Accumulated_Percentage
 8082 4 0.210526315789474 0.210526315789474
 8062 3 0.157894736842105 0.368421052631579
 8060 2 0.105263157894737 0.473684210526316
 8093 2 0.105263157894737 0.578947368421053
 6324 2 0.105263157894737 0.684210526315789
 8742 1 0.0526315789473684 0.736842105263158
 6794 1 0.0526315789473684 0.789473684210526
 6411 1 0.0526315789473684 0.842105263157895
 8090 1 0.0526315789473684 0.894736842105263
 8051 1 0.0526315789473684 0.947368421052631
 8071 1 0.0526315789473684 1
