#SIC #Occurrence #Percentage #Accumulated_Percentage
 7389 4 0.210526315789474 0.210526315789474
 4813 2 0.105263157894737 0.315789473684211
 5045 2 0.105263157894737 0.421052631578947
 3674 2 0.105263157894737 0.526315789473684
 5961 2 0.105263157894737 0.631578947368421
 3578 1 0.0526315789473684 0.684210526315789
 7372 1 0.0526315789473684 0.736842105263158
 3579 1 0.0526315789473684 0.789473684210526
 5000 1 0.0526315789473684 0.842105263157894
 7381 1 0.0526315789473684 0.894736842105263
 7373 1 0.0526315789473684 0.947368421052631
 3661 1 0.0526315789473684 1
