#SIC #Occurrence #Percentage #Accumulated_Percentage
 4922 14 0.311111111111111 0.311111111111111
 4610 13 0.288888888888889 0.6
 4924 3 0.0666666666666667 0.666666666666667
 2911 3 0.0666666666666667 0.733333333333333
 4923 3 0.0666666666666667 0.8
 5171 2 0.0444444444444444 0.844444444444444
 6331 1 0.0222222222222222 0.866666666666667
 5960 1 0.0222222222222222 0.888888888888889
 4911 1 0.0222222222222222 0.911111111111111
 7350 1 0.0222222222222222 0.933333333333333
 5172 1 0.0222222222222222 0.955555555555556
 1311 1 0.0222222222222222 0.977777777777778
 1389 1 0.0222222222222222 1
