"","ticker","finance_site","website","description","keywords"
"1","CAI","https://finance.yahoo.com/quote/CAI","http://www.capps.com","CAI International. a global transportation company offering intermodal container leasing and sales, rail leasing and operations, and global logistics services.",NA
"2","CAL","https://finance.yahoo.com/quote/CAL","http://www.caleres.com","Caleres inspires people to feel good…feet first. Learn about our portfolio of global brands including Famous Footwear, Sam Edelman, Naturalizer &amp; more.","caleres, famous footwear, naturalizer,"
"3","CRC","https://finance.yahoo.com/quote/CRC","http://www.crc.com","California Resources Corporation (NYSE: CRC) is an independent company and leading producer of oil and natural gas focused exclusively on California.","California Resources Corporation, CRC, oil and natural gas, "
"4","CWT","https://finance.yahoo.com/quote/CWT","http://www.calwatergroup.com",NA,NA
"5","CALX","https://finance.yahoo.com/quote/CALX","http://www.calix.com","Platforms that Connect the World",""
"6","ELY","https://finance.yahoo.com/quote/ELY","http://www.callawaygolf.com",NA,NA
"7","CPE","https://finance.yahoo.com/quote/CPE","http://www.callon.com","Callon Petroleum, an independent oil and natural gas company, is focused on growing production and reserves in the Permian Basin.",NA
"8","CBM","https://finance.yahoo.com/quote/CBM","http://www.cambrex.com","width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=0",NA
"9","CPT","https://finance.yahoo.com/quote/CPT","http://www.camdenliving.com","Find your new apartment home with Camden. Pet-friendly studio, 1, 2, and 3 bedroom floor plans with full amenities. Living Excellence at Camden.",NA
"10","CCJ","https://finance.yahoo.com/quote/CCJ","http://www.cameco.com","Cameco is one of the world&#039;s largest publicly traded uranium companies.","Cameco"
"11","CPB","https://finance.yahoo.com/quote/CPB","http://www.campbellsoupcompany.com",NA,NA
"12","CWH","https://finance.yahoo.com/quote/CWH","http://www.campingworld.com","Shop Camping World for all of your RV and camping needs!","RV, rv accessories, rv accessories, Motorhome, Camper, Travel Trailer, Recreational Vehicles Camping World"
"13","GOOS","https://finance.yahoo.com/quote/GOOS","http://www.canadagoose.com"," Canada Goose produces extreme weather outerwear since 1957. Discover high quality jackets, parkas and accessories designed for women, men and kids."," canada goose, outerwear, mens, womens, kids, parkas, coats, jackets, shells, mitts, mittens, gloves, hats, accessories"
"14","CM","https://finance.yahoo.com/quote/CM","http://www.cibc.com","Bank on your terms with CIBC – whether it’s in person, over the phone or online, CIBC has you covered.","Banking, online banking, personal banking, financial services, banking products"
"15","CNI","https://finance.yahoo.com/quote/CNI","http://www.cn.ca","Shipping by Rail and Intermodal is efficient, reliable, cost effective & environmentally friendly. CN is your complete transportation and logistics solution.",NA
"16","CNQ","https://finance.yahoo.com/quote/CNQ","http://www.cnrl.com","Canadian Natural is one of the largest independent crude oil and natural gas producers in the world. The Company continually targets cost effective alternatives to develop our portfolio of projects and to deliver our defined growth plan, thereby creating ",NA
