"","wiki_company","companylist_name"
"171","NXP Semiconductors",""
"172","Orbotech",""
"173","Bioverativ",""
"174","Pluralsight",""
"175","CollabRx",""
"176","Tesla, Inc.",""
"177","Fossil Group",""
"178","RGC Resources",""
"179","Criteo",""
"180","RF Micro Devices",""
"181","Cornerstone OnDemand",""
"182","Emmis Communications",""
"183","WSFS Bank",""
"184","Metro City Bank",""
"185","Sandy Spring Bank",""
"186","T. Rowe Price",""
"187","Endurance International Group",""
"188","Henry Schein",""
"189","FBR Capital Markets",""
"190","Nasdaq, Inc.",""
"191","Photronics Inc",""
"192","Fairway Market",""
"193","Cree Inc.",""
"194","NuVasive",""
"195","Blackline (software company)",""
"196","Rubicon Technology",""
"197","R1 RCM",""
"198","Koss Corporation",""
"199","Texas Instruments",""
"200","Applied Micro Circuits Corporation",""
"201","Intuitive Surgical",""
"202","Pegasystems",""
"203","Ituran",""
"204","Silicon Labs",""
"205","Northwest Biotherapeutics",""
"206","Active Power",""
"207","Allegiant Air",""
"208","MDC Partners",""
"209","China Biologic Products",""
"210","Netlist (company)",""
"211","Encore Capital Group",""
"212","Così (restaurant)",""
"213","American National Insurance Company",""
"214","Health Insurance Innovations",""
"215","PMC-Sierra",""
"216","Texas Capital Bank",""
"217","Innospec",""
"218","Mastech Digital",""
"219","WD-40 Company",""
"220","First Citizens BancShares",""
"221","LRAD Corporation",""
"222","Dynamic Materials Corporation",""
"223","Altra Industrial Motion",""
"224","Key Tronic",""
"225","The Wendy's Company",""
"226","Viasat, Inc.",""
"227","International Bank of Commerce",""
"228","Papa Murphy's",""
"229","Descartes Systems Group",""
"230","Category:Companies in the NASDAQ Financial-100 Index",""
"231","Alkermes (company)",""
"232","El Pollo Loco",""
"233","CorVel Corporation",""
"234","InterDigital",""
"235","Navient Corporation",""
"236","Simulations Plus",""
"237","CDW",""
"238","Pacific City Bank",""
"239","OPKO Health",""
"240","Kingstone Companies",""
"241","Digi International",""
"242","Enzon Pharmaceuticals",""
"243","Calavo Growers",""
"244","HomeTrust Bancshares",""
"245","Siliconware Precision Industries",""
"246","Smart Balance",""
"247","Brighthouse Financial",""
"248","Clean Diesel Technologies",""
"249","Farmer Brothers",""
"250","SIGA Technologies",""
"251","BioCryst Pharmaceuticals",""
"252","Gilat Satellite Networks",""
"253","ACI Worldwide",""
"254","Mattel",""
"255","Tilray",""
"256","ILG, Inc.",""
"257","Alarm.com",""
"258","CME Group",""
"259","Qutoutiao",""
"260","The Carlyle Group",""
"261","MercadoLibre",""
"262","Sierra Wireless",""
"263","Education Management Corporation",""
"264","Acorn Energy",""
"265","Cytosorbents Corporation",""
"266","IberiaBank",""
"267","Cimatron",""
"268","Citrix Systems",""
"269","The9",""
"270","SMTC Corporation",""
"271","Willamette Valley Vineyards",""
"272","Gogo Inflight Internet",""
"273","Category:Viacom",""
"274","First Financial Bank (Ohio)",""
"275","J.W. Mays",""
"276","Schnitzer Steel Industries",""
"277","Applied Materials",""
"278","Great Lakes Dredge and Dock Company",""
"279","Exa Corporation","Exantas Capital Corp."
"280","Dish Network",""
"281","Impinj",""
"282","Funko",""
"283","Partner Communications Company",""
"284","American Woodmark",""
"285","Immunomedics",""
"286","Commercial Vehicle Group",""
"287","Rockwell Medical",""
"288","Avadel Pharmaceuticals",""
"289","Sterling Bank (Texas)",""
"290","Avid Technology",""
