"","X.https...finance.yahoo.com.quote.CAI.","X.http...www.capps.com."
"517","https://finance.yahoo.com/quote/ELU",""
"518","https://finance.yahoo.com/quote/EMP",""
"519","https://finance.yahoo.com/quote/ENJ",""
"520","https://finance.yahoo.com/quote/ENO",""
"521","https://finance.yahoo.com/quote/EZT",""
"525","https://finance.yahoo.com/quote/EVA",""
"528","https://finance.yahoo.com/quote/EPE",""
"531","https://finance.yahoo.com/quote/EPR^C",""
"532","https://finance.yahoo.com/quote/EPR^E",""
"533","https://finance.yahoo.com/quote/EPR^G",""
"540","https://finance.yahoo.com/quote/EQC^D",""
"564","https://finance.yahoo.com/quote/XAN^C",""
"571","https://finance.yahoo.com/quote/FNB^E",""
"576","https://finance.yahoo.com/quote/FPAC",""
"577","https://finance.yahoo.com/quote/FPAC.U",""
"578","https://finance.yahoo.com/quote/FPAC.WS",""
"579","https://finance.yahoo.com/quote/FTCH",""
"581","https://finance.yahoo.com/quote/FPI^B",""
"582","https://finance.yahoo.com/quote/FSLY",""
"586","https://finance.yahoo.com/quote/AGM.A",""
"587","https://finance.yahoo.com/quote/AGM^A",""
"588","https://finance.yahoo.com/quote/AGM^B.CL",""
"589","https://finance.yahoo.com/quote/AGM^C",""
"590","https://finance.yahoo.com/quote/AGM^D",""
"592","https://finance.yahoo.com/quote/FRT^C",""
"601","https://finance.yahoo.com/quote/FG.WS",""
"611","https://finance.yahoo.com/quote/FHN^A",""
"615","https://finance.yahoo.com/quote/FRC^D",""
"616","https://finance.yahoo.com/quote/FRC^F",""
"617","https://finance.yahoo.com/quote/FRC^G",""
"618","https://finance.yahoo.com/quote/FRC^H",""
"619","https://finance.yahoo.com/quote/FRC^I",""
"625","https://finance.yahoo.com/quote/FPF",""
"657","https://finance.yahoo.com/quote/FTV^A",""
"681","https://finance.yahoo.com/quote/GCV^B",""
"683","https://finance.yahoo.com/quote/GDV^A",""
"684","https://finance.yahoo.com/quote/GDV^D",""
"685","https://finance.yahoo.com/quote/GDV^G",""
"687","https://finance.yahoo.com/quote/GAB^D",""
"688","https://finance.yahoo.com/quote/GAB^G",""
"689","https://finance.yahoo.com/quote/GAB^H",""
"690","https://finance.yahoo.com/quote/GAB^J",""
"692","https://finance.yahoo.com/quote/GGZ^A",""
"694","https://finance.yahoo.com/quote/GGT^B",""
"695","https://finance.yahoo.com/quote/GGT^E",""
"697","https://finance.yahoo.com/quote/GUT^A",""
"698","https://finance.yahoo.com/quote/GUT^C",""
"702","https://finance.yahoo.com/quote/GNT^A",""
"709","https://finance.yahoo.com/quote/GLOG^A",""
"711","https://finance.yahoo.com/quote/GLOP^A",""
"712","https://finance.yahoo.com/quote/GLOP^B",""
"713","https://finance.yahoo.com/quote/GLOP^C",""
"716","https://finance.yahoo.com/quote/GMTA",""
"721","https://finance.yahoo.com/quote/GAM^B",""
"726","https://finance.yahoo.com/quote/GM.WS.B",""
"732","https://finance.yahoo.com/quote/GNE^A",""
"738","https://finance.yahoo.com/quote/GPJA",""
"742","https://finance.yahoo.com/quote/GIG.U",""
"743","https://finance.yahoo.com/quote/GIG.WS",""
"744","https://finance.yahoo.com/quote/GIG~",""
"751","https://finance.yahoo.com/quote/GMRE",""
"752","https://finance.yahoo.com/quote/GMRE^A",""
"754","https://finance.yahoo.com/quote/GNL^A",""
"756","https://finance.yahoo.com/quote/GLP^A",""
"759","https://finance.yahoo.com/quote/GSL^B",""
"769","https://finance.yahoo.com/quote/GS^A",""
"770","https://finance.yahoo.com/quote/GS^B",""
"771","https://finance.yahoo.com/quote/GS^C",""
"772","https://finance.yahoo.com/quote/GS^D",""
"773","https://finance.yahoo.com/quote/GS^J",""
"774","https://finance.yahoo.com/quote/GS^K",""
"775","https://finance.yahoo.com/quote/GS^N",""
"777","https://finance.yahoo.com/quote/GMZ",""
"782","https://finance.yahoo.com/quote/GRAF.U",""
"783","https://finance.yahoo.com/quote/GRAF.WS",""
"790","https://finance.yahoo.com/quote/GRP.U",""
"793","https://finance.yahoo.com/quote/GTN.A",""
"795","https://finance.yahoo.com/quote/AJXA",""
"802","https://finance.yahoo.com/quote/GEF.B",""
"812","https://finance.yahoo.com/quote/GSAH.U",""
"813","https://finance.yahoo.com/quote/GSAH.WS",""
"826","https://finance.yahoo.com/quote/HK.WS",""
"837","https://finance.yahoo.com/quote/HGH",""
"839","https://finance.yahoo.com/quote/HIG.WS",""
"840","https://finance.yahoo.com/quote/HIG^G",""
"842","https://finance.yahoo.com/quote/HVT.A",""
"852","https://finance.yahoo.com/quote/HL^B",""
