"","ticker","finance_site","website","description","keywords"
"1","SJW","https://finance.yahoo.com/quote/SJW","http://www.sjwgroup.com","SJW Corp., a California corporation, was formed in 1985. SJW Corp. operates as a holding company with the following subsidiaries: San Jose Water Company, a water utility with both regulated and non-regulated businesses; SJW Land Company, which owns commercial buildings and undeveloped land, SJWTX Inc., a water utility, and Texas Water Alliance Limited, a Texas corporation.","San Jose Water Corporation, public water utility in San Jose, water service in San Jose, San Jose Water Company, SJ Water Land Company, Canyon Lake Water Service Company, Texas Water Alliance Limited"
"2","SKM","https://finance.yahoo.com/quote/SKM","http://www.sktelecom.com",NA,NA
"3","SKX","https://finance.yahoo.com/quote/SKX","http://www.skechers.com","Shop for Skechers shoes for men, women, kids and Performance",NA
"4","SKY","https://finance.yahoo.com/quote/SKY","http://ir.skylinechampion.com",NA,NA
"5","SLG","https://finance.yahoo.com/quote/SLG","http://www.slgreen.com","SL Green Realty Corp., an S&P 500 company & New York City's largest office landlord, is a fully integrated REIT is focusing on Manhattan commercial properties. ","sl, green, building, midtown, manhattan, nyc, new, york, city, ny, office, commercial, property, leasing, real, estate"
"6","SM","https://finance.yahoo.com/quote/SM","http://www.sm-energy.com","SM Energy, a leader in the oil and natural gas industry, is one of the top oil and gas exploration companies serving Texas and the rocky mountains.",NA
"7","SFS","https://finance.yahoo.com/quote/SFS","http://www.smartandfinal.com","Shop Smart &amp; Final for amazing deals on groceries and restaurant supplies. Now offering same day delivery from your local store. Shop Now and Save!","Smart & Final"
"8","SMAR","https://finance.yahoo.com/quote/SMAR","http://www.smartsheet.com","The leading work execution platform you need to move from idea to impact – fast.",NA
"9","SNN","https://finance.yahoo.com/quote/SNN","http://www.smith-nephew.com","Proudly supported healthcare professionals in their daily efforts to improve the lives of their patients for over 150 years. With leadership positions in Orthopaedic Reconstruction, Advanced Wound Management, Sports Medicine, Trauma and ENT, Smith &amp; Nephew has almost 16,000 employees and a presence in more than 100 countries",NA
"10","SNAP","https://finance.yahoo.com/quote/SNAP","http://www.snap.com","Snap Inc. is a camera company. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.",NA
"11","SNA","https://finance.yahoo.com/quote/SNA","http://www.snapon.com",NA,NA
"12","IPOA","https://finance.yahoo.com/quote/IPOA","http://www.socialcapitalhedosophiaholdings.com","",""
"13","SQM","https://finance.yahoo.com/quote/SQM","http://www.sqm.com",NA,NA
"14","SOGO","https://finance.yahoo.com/quote/SOGO","http://www.sogou.com","搜狗搜索是全球第三代互动式搜索引擎，支持微信公众号和文章搜索、知乎搜索、英文搜索及翻译等，通过自主研发的人工智能算法为用户提供专业、精准、便捷的搜索服务。","搜狗搜索,网页搜索,微信搜索,视频搜索,图片搜索,音乐搜索,新闻搜索,软件搜索,问答搜索,百科搜索,购物搜索"
"15","SOI","https://finance.yahoo.com/quote/SOI","http://www.solarisoilfield.com","Solaris Oilfield Infrastructure offers products, services and solutions to enhance efficiency and safety in U.S. shale plays.","oil,field,infrastructure,sand,silos,mobile,truck,transport,propane"
"16","SWI","https://finance.yahoo.com/quote/SWI","http://www.solarwinds.com","SolarWinds IT monitoring and management tools are built for SysAdmins and network engineers who need powerful and affordable tools. Get a free trial today.",""
"17","SAH","https://finance.yahoo.com/quote/SAH","http://www.sonicautomotive.com","Sonic Automotive is revolutionizing the car buying business. We operate over 100 dealerships in 13 states and represent 25 different new car brands. Car Buying, the Way it Should Be.",NA
"18","SON","https://finance.yahoo.com/quote/SON","http://www.sonoco.com",NA,NA
"19","SNE","https://finance.yahoo.com/quote/SNE","http://www.sony.net","Gateway to Sony Products and Services, Games, Music, Movies, Financial Services and Sony Websites Worldwide, and Group Information, Corporate Info, IR, CSR / Environment, Careers, News Releases, Technology, Design, Brand, and more.","Sony, Portal, Group, Global, Entertainment, Products, Electronics, TV, Television, Audio, Video, Camera, Medical, Contactless IC Card, FeliCa, Semiconductors, Music, Pictures, Movie, Game, PlayStation, smartphone, Internet, So-net, Network, Services, Financial Service, Life Insurance, Non-Life Insurance, Banking, Nursing Care, Brand, Sony Design"
"20","BID","https://finance.yahoo.com/quote/BID","http://www.sothebys.com","width=device-width, initial-scale=1",NA
"21","SOR","https://finance.yahoo.com/quote/SOR","http://www.fpafunds.com","First Pacific Advisors, LLC (FPA Funds) is a Los Angeles-based investment management firm with an emphasis on value investing.","First Pacific Advisors, LLC (FPA Funds) is a Los Angeles-based investment management firm with an emphasis on value investing."
"22","SJI","https://finance.yahoo.com/quote/SJI","http://www.sjindustries.com",NA,NA
"23","SO","https://finance.yahoo.com/quote/SO","http://www.southerncompany.com","Southern Company homepage.",NA
"24","SCCO","https://finance.yahoo.com/quote/SCCO","http://www.southerncoppercorp.com",NA,NA
"25","LUV","https://finance.yahoo.com/quote/LUV","http://www.southwest.com","width=988",NA
"26","SWX","https://finance.yahoo.com/quote/SWX","http://www.swgasholdings.com","Southwest Gas Holdings is a holding company. We are the parent company of Southwest Gas Corporation and Centuri Construction Group, Inc.",NA
"27","SWN","https://finance.yahoo.com/quote/SWN","http://www.swn.com",NA,NA
