#SIC #Occurrence #Percentage #Accumulated_Percentage
 5651 11 0.0424710424710425 0.0424710424710425
 2844 10 0.0386100386100386 0.0810810810810811
 5600 8 0.0308880308880309 0.111969111969112
 5331 7 0.027027027027027 0.138996138996139
 5311 6 0.0231660231660232 0.162162162162162
 5940 6 0.0231660231660232 0.185328185328185
 2000 6 0.0231660231660232 0.208494208494209
 2510 6 0.0231660231660232 0.231660231660232
 2834 6 0.0231660231660232 0.254826254826255
 3944 5 0.0193050193050193 0.274131274131274
 7389 5 0.0193050193050193 0.293436293436294
 2080 5 0.0193050193050193 0.312741312741313
 2300 5 0.0193050193050193 0.332046332046332
 2086 5 0.0193050193050193 0.351351351351351
 3140 5 0.0193050193050193 0.370656370656371
 2040 5 0.0193050193050193 0.38996138996139
 2015 4 0.0154440154440154 0.405405405405406
 2320 4 0.0154440154440154 0.420849420849421
 2870 4 0.0154440154440154 0.436293436293437
 5141 4 0.0154440154440154 0.451737451737452
 2030 4 0.0154440154440154 0.467181467181467
 5411 4 0.0154440154440154 0.482625482625483
 5961 4 0.0154440154440154 0.498069498069498
 3089 4 0.0154440154440154 0.513513513513514
 2082 3 0.0115830115830116 0.525096525096525
 5661 3 0.0115830115830116 0.536679536679537
 3949 3 0.0115830115830116 0.548262548262548
 5211 3 0.0115830115830116 0.55984555984556
 5531 3 0.0115830115830116 0.571428571428572
 2511 3 0.0115830115830116 0.583011583011583
 5400 3 0.0115830115830116 0.594594594594595
 3100 3 0.0115830115830116 0.606177606177606
 3577 3 0.0115830115830116 0.617760617760618
 5700 3 0.0115830115830116 0.629343629343629
 2750 3 0.0115830115830116 0.640926640926641
 2670 2 0.00772200772200772 0.648648648648649
 2211 2 0.00772200772200772 0.656370656370656
 2833 2 0.00772200772200772 0.664092664092664
 2060 2 0.00772200772200772 0.671814671814672
 5900 2 0.00772200772200772 0.67953667953668
 3910 2 0.00772200772200772 0.687258687258687
 5944 2 0.00772200772200772 0.694980694980695
 3990 2 0.00772200772200772 0.702702702702703
 2860 2 0.00772200772200772 0.71042471042471
 5621 2 0.00772200772200772 0.718146718146718
 3021 2 0.00772200772200772 0.725868725868726
 3651 2 0.00772200772200772 0.733590733590733
 100 2 0.00772200772200772 0.741312741312741
 5500 2 0.00772200772200772 0.749034749034749
 2590 2 0.00772200772200772 0.756756756756757
 3480 2 0.00772200772200772 0.764478764478764
 2090 2 0.00772200772200772 0.772200772200772
 3873 2 0.00772200772200772 0.77992277992278
 6799 2 0.00772200772200772 0.787644787644787
 5140 2 0.00772200772200772 0.795366795366795
 2070 2 0.00772200772200772 0.803088803088803
 5130 2 0.00772200772200772 0.810810810810811
 5110 1 0.00386100386100386 0.814671814671814
 3411 1 0.00386100386100386 0.818532818532818
 4213 1 0.00386100386100386 0.822393822393822
 3841 1 0.00386100386100386 0.826254826254826
 3440 1 0.00386100386100386 0.83011583011583
 4833 1 0.00386100386100386 0.833976833976834
 3576 1 0.00386100386100386 0.837837837837837
 5180 1 0.00386100386100386 0.841698841698841
 2990 1 0.00386100386100386 0.845559845559845
 2631 1 0.00386100386100386 0.849420849420849
 6770 1 0.00386100386100386 0.853281853281853
 5122 1 0.00386100386100386 0.857142857142857
 5734 1 0.00386100386100386 0.861003861003861
 6794 1 0.00386100386100386 0.864864864864864
 3851 1 0.00386100386100386 0.868725868725868
 5731 1 0.00386100386100386 0.872586872586872
 2100 1 0.00386100386100386 0.876447876447876
 2013 1 0.00386100386100386 0.88030888030888
 7372 1 0.00386100386100386 0.884169884169884
 3580 1 0.00386100386100386 0.888030888030888
 2771 1 0.00386100386100386 0.891891891891891
 2033 1 0.00386100386100386 0.895752895752895
 2273 1 0.00386100386100386 0.899613899613899
 5712 1 0.00386100386100386 0.903474903474903
 7330 1 0.00386100386100386 0.907335907335907
 2020 1 0.00386100386100386 0.911196911196911
 2621 1 0.00386100386100386 0.915057915057915
 2111 1 0.00386100386100386 0.918918918918918
 4513 1 0.00386100386100386 0.922779922779922
 700 1 0.00386100386100386 0.926640926640926
 3634 1 0.00386100386100386 0.93050193050193
 5094 1 0.00386100386100386 0.934362934362934
 2011 1 0.00386100386100386 0.938223938223938
 3420 1 0.00386100386100386 0.942084942084942
 3571 1 0.00386100386100386 0.945945945945945
 3690 1 0.00386100386100386 0.949806949806949
 5190 1 0.00386100386100386 0.953667953667953
 900 1 0.00386100386100386 0.957528957528957
 5990 1 0.00386100386100386 0.961389961389961
 3080 1 0.00386100386100386 0.965250965250965
 5160 1 0.00386100386100386 0.969111969111969
 7812 1 0.00386100386100386 0.972972972972972
 200 1 0.00386100386100386 0.976833976833976
 3630 1 0.00386100386100386 0.98069498069498
 2330 1 0.00386100386100386 0.984555984555984
 5810 1 0.00386100386100386 0.988416988416988
 7384 1 0.00386100386100386 0.992277992277992
 5150 1 0.00386100386100386 0.996138996138995
 3360 1 0.00386100386100386 0.999999999999999
