#SIC #Occurrence #Percentage #Accumulated_Percentage
 4911 24 0.387096774193548 0.387096774193548
 4931 14 0.225806451612903 0.612903225806452
 4941 11 0.17741935483871 0.790322580645161
 4924 4 0.0645161290322581 0.854838709677419
 4923 2 0.032258064516129 0.887096774193548
 4900 2 0.032258064516129 0.919354838709677
 1623 1 0.0161290322580645 0.935483870967742
 4991 1 0.0161290322580645 0.951612903225806
 4932 1 0.0161290322580645 0.967741935483871
 3600 1 0.0161290322580645 0.983870967741935
 5172 1 0.0161290322580645 1
