#SIC #Occurrence #Percentage #Accumulated_Percentage
 3674 6 0.315789473684211 0.315789473684211
 3510 2 0.105263157894737 0.421052631578947
 3260 1 0.0526315789473684 0.473684210526316
 3620 1 0.0526315789473684 0.526315789473684
 3585 1 0.0526315789473684 0.578947368421053
 3825 1 0.0526315789473684 0.631578947368421
 3430 1 0.0526315789473684 0.684210526315789
 3621 1 0.0526315789473684 0.736842105263158
 3690 1 0.0526315789473684 0.789473684210526
 1700 1 0.0526315789473684 0.842105263157894
 5065 1 0.0526315789473684 0.894736842105263
 3661 1 0.0526315789473684 0.947368421052631
 7370 1 0.0526315789473684 1
