#SIC #Occurrence #Percentage #Accumulated_Percentage
 6022 141 0.494736842105263 0.494736842105263
 6021 67 0.235087719298246 0.729824561403509
 6035 48 0.168421052631579 0.898245614035088
 6036 8 0.0280701754385965 0.926315789473684
 8200 7 0.0245614035087719 0.950877192982456
 6141 7 0.0245614035087719 0.975438596491228
 6798 2 0.00701754385964912 0.982456140350877
 6153 1 0.00350877192982456 0.985964912280702
 7389 1 0.00350877192982456 0.989473684210526
 6111 1 0.00350877192982456 0.992982456140351
 6029 1 0.00350877192982456 0.996491228070175
 6162 1 0.00350877192982456 1
