#SIC #Occurrence #Percentage #Accumulated_Percentage
 1311 79 0.220670391061453 0.220670391061453
 4911 25 0.0698324022346369 0.290502793296089
 1389 24 0.0670391061452514 0.357541899441341
 4922 17 0.0474860335195531 0.405027932960894
 4931 14 0.0391061452513966 0.44413407821229
 4610 13 0.0363128491620112 0.480446927374302
 4941 13 0.0363128491620112 0.516759776536313
 3533 12 0.0335195530726257 0.550279329608938
 2911 11 0.0307262569832402 0.581005586592179
 4213 9 0.0251396648044693 0.606145251396648
 1381 9 0.0251396648044693 0.631284916201117
 4512 8 0.0223463687150838 0.653631284916201
 4924 7 0.0195530726256983 0.673184357541899
 6792 7 0.0195530726256983 0.692737430167598
 1600 6 0.0167597765363128 0.70949720670391
 4412 6 0.0167597765363128 0.726256983240223
 4731 6 0.0167597765363128 0.743016759776536
 4953 5 0.0139664804469274 0.756983240223464
 4923 5 0.0139664804469274 0.770949720670391
 1400 5 0.0139664804469274 0.784916201117318
 4011 4 0.0111731843575419 0.79608938547486
 3440 4 0.0111731843575419 0.807262569832402
 1382 4 0.0111731843575419 0.818435754189944
 5171 4 0.0111731843575419 0.829608938547486
 7359 4 0.0111731843575419 0.840782122905028
 2860 4 0.0111731843575419 0.85195530726257
 1731 4 0.0111731843575419 0.863128491620112
 5172 4 0.0111731843575419 0.874301675977654
 8711 3 0.00837988826815642 0.88268156424581
 1623 3 0.00837988826815642 0.891061452513966
 4400 3 0.00837988826815642 0.899441340782123
 1700 3 0.00837988826815642 0.907821229050279
 4955 2 0.00558659217877095 0.91340782122905
 5900 2 0.00558659217877095 0.918994413407821
 6500 2 0.00558659217877095 0.924581005586592
 4513 2 0.00558659217877095 0.930167597765363
 4900 2 0.00558659217877095 0.935754189944134
 5500 2 0.00558659217877095 0.941340782122905
 4700 2 0.00558659217877095 0.946927374301676
 5150 2 0.00558659217877095 0.952513966480447
 6331 1 0.00279329608938547 0.955307262569833
 4991 1 0.00279329608938547 0.958100558659218
 4899 1 0.00279329608938547 0.960893854748604
 7600 1 0.00279329608938547 0.963687150837989
 5960 1 0.00279329608938547 0.966480446927375
 7510 1 0.00279329608938547 0.96927374301676
 2870 1 0.00279329608938547 0.972067039106146
 4950 1 0.00279329608938547 0.974860335195531
 4932 1 0.00279329608938547 0.977653631284917
 4522 1 0.00279329608938547 0.980446927374302
 3600 1 0.00279329608938547 0.983240223463688
 3714 1 0.00279329608938547 0.986033519553073
 3743 1 0.00279329608938547 0.988826815642459
 7350 1 0.00279329608938547 0.991620111731844
 4210 1 0.00279329608938547 0.99441340782123
 7340 1 0.00279329608938547 0.997206703910615
 1220 1 0.00279329608938547 1
