Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK,SIC
LIVE,Live Ventures Incorporated,7.45,14169155,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/live,NASDAQ,1045742,6799
LPSN,"LivePerson, Inc.",28.78,1866264599,,2000,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/lpsn,NASDAQ,1102993,7372
LIVX,"LiveXLive Media, Inc.",4.11,214107330.5,,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/livx,NASDAQ,1491419,5812
LKQ,LKQ Corporation,26.54,8333404900,,,Consumer Services,Motor Vehicles,https://www.nasdaq.com/symbol/lkq,NASDAQ,1065696,5010
LMFA,"LM Funding America, Inc.",1.27,3937000,,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/lmfa,NASDAQ,1640384,6199
LMFAW,"LM Funding America, Inc.",0.025,0,,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/lmfaw,NASDAQ,1640384,6199
LOGC,"LogicBio Therapeutics, Inc.",16.21,364632586.8,,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/logc,NASDAQ,1664106,2836
LOGI,Logitech International S.A.,37.15,6189135984,,1997,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/logi,NASDAQ,1032975,3577
LOGM,"LogMein, Inc.",74.24,3697152000,,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/logm,NASDAQ,1420302,7372
CNCR,Loncar Cancer Immunotherapy ETF,20.6,38110000,,,,,https://www.nasdaq.com/symbol/cncr,NASDAQ,,
CHNA,Loncar China BioPharma ETF,21.3648,3204720,,,,,https://www.nasdaq.com/symbol/chna,NASDAQ,,
LONE,Lonestar Resources US Inc.,3.145,78410331.74,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lone,NASDAQ,1661920,1311
LOAC,Longevity Acquisition Corporation,10.06,53016200,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loac,NASDAQ,1743858,6770
LOACR,Longevity Acquisition Corporation,0.22,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loacr,NASDAQ,1743858,6770
LOACU,Longevity Acquisition Corporation,10.42,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loacu,NASDAQ,1743858,6770
LOACW,Longevity Acquisition Corporation,0.15,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/loacw,NASDAQ,,
LOOP,"Loop Industries, Inc.",7.35,256331485.2,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/loop,NASDAQ,1504678,2800
