#SIC #Occurrence #Percentage #Accumulated_Percentage
 2000 5 0.128205128205128 0.128205128205128
 2015 4 0.102564102564103 0.230769230769231
 2080 3 0.0769230769230769 0.307692307692308
 2086 3 0.0769230769230769 0.384615384615385
 2030 3 0.0769230769230769 0.461538461538462
 2082 2 0.0512820512820513 0.512820512820513
 2090 2 0.0512820512820513 0.564102564102564
 2040 2 0.0512820512820513 0.615384615384616
 2070 2 0.0512820512820513 0.666666666666667
 5180 1 0.0256410256410256 0.692307692307693
 2100 1 0.0256410256410256 0.717948717948718
 2013 1 0.0256410256410256 0.743589743589744
 2033 1 0.0256410256410256 0.769230769230769
 5141 1 0.0256410256410256 0.794871794871795
 2860 1 0.0256410256410256 0.820512820512821
 700 1 0.0256410256410256 0.846153846153846
 2011 1 0.0256410256410256 0.871794871794872
 100 1 0.0256410256410256 0.897435897435898
 5190 1 0.0256410256410256 0.923076923076923
 200 1 0.0256410256410256 0.948717948717949
 2834 1 0.0256410256410256 0.974358974358975
 5150 1 0.0256410256410256 1
