38, RETAIL-VARIETY STORES, RETAIL-FAMILY CLOTHING STORES, RETAIL-MISCELLANEOUS SHOPPING GOODS STORES
39, PHARMACEUTICAL PREPARATIONS, RETAIL-FOOD STORES, PERFUMES COSMETICS & OTHER TOILET PREPARATIONS
40, RETAIL-DEPARTMENT STORES, PERFUMES COSMETICS & OTHER TOILET PREPARATIONS, SUGAR & CONFECTIONERY PRODUCTS
41, PERFUMES COSMETICS & OTHER TOILET PREPARATIONS, GAMES TOYS & CHILDREN'S VEHICLES, MEN'S & BOYS' FURNISHGS WORK CLOTHG & ALLIED GARMENTS
42, SEMICONDUCTORS & RELATED DEVICES, INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS, SPECIAL INDUSTRY MACHINERY
43, SEMICONDUCTORS & RELATED DEVICES, RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT, SERVICES-PREPACKAGED SOFTWARE
44, SEMICONDUCTORS & RELATED DEVICES, ENGINES & TURBINES, POTTERY & RELATED PRODUCTS
45, SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN, SEARCH DETECTION NAVAGATION GUIDANCE AERONAUTICAL SYS, RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
46, SEARCH DETECTION NAVAGATION GUIDANCE AERONAUTICAL SYS, MEASURING & CONTROLLING DEVICES, OIL & GAS FIELD EXPLORATION SERVICES
47, SERVICES-BUSINESS SERVICES, SERVICES-PREPACKAGED SOFTWARE, PHARMACEUTICAL PREPARATIONS
48, PHARMACEUTICAL PREPARATIONS, STATE COMMERCIAL BANKS, REAL ESTATE INVESTMENT TRUSTS
49, RETAIL-VARIETY STORES, REAL ESTATE INVESTMENT TRUSTS, ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
50, ELECTRIC & OTHER SERVICES COMBINED, NATURAL GAS TRANSMISSION, PIPE LINES
51, RETAIL-NONSTORE RETAILERS, SERVICES-COMPUTER PROCESSING & DATA PREPARATION, CABLE & OTHER PAY TELEVISION SERVICES
52, SERVICES-BUSINESS SERVICES, GAS & OTHER SERVICES COMBINED, NATIONAL COMMERCIAL BANKS
53, CHEMICALS & ALLIED PRODUCTS, INDUSTRIAL INORGANIC CHEMICALS, PLASTIC MATERIAL SYNTH RESIN/RUBBER CELLULOS (NO GLASS)
54, PLASTICS PRODUCTS, METAL MINING, CONVERTED PAPER & PAPERBOARD PRODS
55, ABRASIVE ASBESTOS & MISC NONMETALLIC MINERAL PRODS, WATER SEWER PIPELINE COMM & POWER LINE CONSTRUCTION, SERVICES-MANAGEMENT CONSULTING SERVICES
56, GOLD AND SILVER ORES, BITUMINOUS COAL & LIGNITE SURFACE MINING, BITUMINOUS COAL & LIGNITE MINING
57, METALWORKG MACHINERY & EQUIPMENT, ELECTRICAL INDUSTRIAL APPARATUS, MISCELLANEOUS FABRICATED METAL PRODUCTS
58, CANNED FROZEN & PRESERVD FRUIT VEG & FOOD SPECIALTIES, MISCELLANEOUS ELECTRICAL MACHINERY EQUIPMENT & SUPPLIES, SERVICES-BUSINESS SERVICES
59, CONVERTED PAPER & PAPERBOARD PRODS, PLASTIC MATERIAL SYNTH RESIN/RUBBER CELLULOS (NO GLASS), CARPETS & RUGS
60, PRINTED CIRCUIT BOARDS, MOTOR VEHICLE PARTS & ACCESSORIES, MEASURING & CONTROLLING DEVICES
61, ELECTRIC LIGHTING & WIRING EQUIPMENT, WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS, SERVICES-EQUIPMENT RENTAL & LEASING
62, MILLWOOD VENEER PLYWOOD & STRUCTURAL WOOD MEMBERS, GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS, WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS
63, MOTOR VEHICLE PARTS & ACCESSORIES, MOTOR VEHICLES & PASSENGER CAR BODIES, AIRCRAFT PARTS & AUXILIARY EQUIPMENT
64, METAL FORGINGS & STAMPINGS, FARM MACHINERY & EQUIPMENT, CONSTRUCTION MACHINERY & EQUIP
65, SERVICES-EDUCATIONAL SERVICES, PERSONAL CREDIT INSTITUTIONS
66, STATE COMMERCIAL BANKS, PERSONAL CREDIT INSTITUTIONS, REAL ESTATE INVESTMENT TRUSTS
67, STATE COMMERCIAL BANKS, NATIONAL COMMERCIAL BANKS, SAVINGS INSTITUTION FEDERALLY CHARTERED
68, INVESTMENT ADVICE, SECURITY BROKERS DEALERS & FLOTATION COMPANIES, STATE COMMERCIAL BANKS
69, SECURITY BROKERS DEALERS & FLOTATION COMPANIES, SECURITY & COMMODITY BROKERS DEALERS EXCHANGES & SERVICES, INVESTMENT ADVICE
70, BLANK CHECKS, SERVICES-BUSINESS SERVICES, SERVICES-COMPUTER PROCESSING & DATA PREPARATION
71, REAL ESTATE, REAL ESTATE AGENTS & MANAGERS, LESSORS OF REAL PROPERTY
72, REAL ESTATE INVESTMENT TRUSTS, INVESTMENT ADVICE, WHOLESALE-DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES
73, SURETY INSURANCE, FIRE MARINE & CASUALTY INSURANCE, STATE COMMERCIAL BANKS
74, FIRE MARINE & CASUALTY INSURANCE, LIFE INSURANCE, INSURANCE AGENTS BROKERS & SERVICE
75, REAL ESTATE AGENTS & MANAGERS, SERVICES-BUSINESS SERVICES, REAL ESTATE
76, RETAIL-AUTO DEALERS & GASOLINE STATIONS, SERVICES-BUSINESS SERVICES, SERVICES-COMPUTER PROCESSING & DATA PREPARATION
77, SHORT-TERM BUSINESS CREDIT INSTITUTIONS, SERVICES-BUSINESS SERVICES, SERVICES-CONSUMER CREDIT REPORTING COLLECTION AGENCIES
78, FINANCE SERVICES, PERSONAL CREDIT INSTITUTIONS, SHORT-TERM BUSINESS CREDIT INSTITUTIONS
79, TRUCKING, AIR TRANSPORTATION SCHEDULED, ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
80, REFUSE SYSTEMS, RAILROADS LINE-HAUL OPERATING, DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT
81, HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS, ELECTRICAL WORK, SERVICES-ENGINEERING SERVICES
82, OIL & GAS FIELD MACHINERY & EQUIPMENT, OIL & GAS FIELD SERVICES, DRILLING OIL & GAS WELLS
83, CRUDE PETROLEUM & NATURAL GAS, OIL & GAS FIELD SERVICES, DRILLING OIL & GAS WELLS
84, CRUDE PETROLEUM & NATURAL GAS, OIL ROYALTY TRADERS
85, CRUDE PETROLEUM & NATURAL GAS, PETROLEUM REFINING, OIL & GAS FIELD EXPLORATION SERVICES
86, ELECTRIC SERVICES, ELECTRIC & OTHER SERVICES COMBINED, WATER SUPPLY
