#SIC #Occurrence #Percentage #Accumulated_Percentage
 3674 24 0.452830188679245 0.452830188679245
 3825 5 0.0943396226415094 0.547169811320755
 3559 4 0.0754716981132075 0.622641509433962
 3827 3 0.0566037735849057 0.679245283018868
 3670 3 0.0566037735849057 0.735849056603774
 3672 2 0.0377358490566038 0.773584905660377
 3823 1 0.0188679245283019 0.792452830188679
 3669 1 0.0188679245283019 0.811320754716981
 3678 1 0.0188679245283019 0.830188679245283
 3677 1 0.0188679245283019 0.849056603773585
 3651 1 0.0188679245283019 0.867924528301887
 3679 1 0.0188679245283019 0.886792452830189
 2890 1 0.0188679245283019 0.90566037735849
 3663 1 0.0188679245283019 0.924528301886792
 3826 1 0.0188679245283019 0.943396226415094
 3460 1 0.0188679245283019 0.962264150943396
 3089 1 0.0188679245283019 0.981132075471698
 3661 1 0.0188679245283019 1
