Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
AABA,Altaba Inc.,68.68,$36.82B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,1011006
AAL,"American Airlines Group, Inc.",32.14,$14.3B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,6201
AAME,Atlantic American Corporation,2.4487,$49.35M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame,8177
AAOI,"Applied Optoelectronics, Inc.",10.16,$202.59M,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi,1158114
AAON,"AAON, Inc.",46.56,$2.43B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,824142
AAPL,Apple Inc.,185.72,$854.51B,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl,320193
AAWW,Atlas Air Worldwide Holdings,40.48,$1.05B,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww,1135185
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,66.43,$4.22B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj,
AAXN,"Axon Enterprise, Inc.",64.76,$3.83B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn,1069183
ABCB,Ameris Bancorp,35.57,$1.69B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,351569
ABDC,Alcentra Capital Corp.,8.35,$107.51M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,1578620
ABEO,Abeona Therapeutics Inc.,7.05,$339.05M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,318306
ABEOW,Abeona Therapeutics Inc.,3.1,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,318306
ABIL,Ability Inc.,1.22,$9.81M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,1652866
ABIO,"ARCA biopharma, Inc.",11.7,$19.79M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio,907654
ABMD,"ABIOMED, Inc.",252.37,$11.39B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,815094
ABTX,"Allegiance Bancshares, Inc.",34.69,$740.34M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,1642081
ABUS,Arbutus Biopharma Corporation,2.2,$127.63M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus,1447028
ACAD,ACADIA Pharmaceuticals Inc.,24.63,$3.54B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,1070494
ACAM,Acamar Partners Acquisition Corp.,9.75,$297.93M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,1759008
ACAMU,Acamar Partners Acquisition Corp.,10,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,1759008
ACAMW,Acamar Partners Acquisition Corp.,1,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,1759008
ACBI,"Atlantic Capital Bancshares, Inc.",17.34,$417.97M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi,1461755
ACER,Acer Therapeutics Inc.,19.48,$196.5M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,1069308
ACGL,Arch Capital Group Ltd.,33.32,$13.45B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acgl,947484
ACGLO,Arch Capital Group Ltd.,24.4,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo,947484
ACGLP,Arch Capital Group Ltd.,23.36,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp,947484
ACHC,"Acadia Healthcare Company, Inc.",32.17,$2.85B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,1520697
ACHN,"Achillion Pharmaceuticals, Inc.",2.74,$380.11M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,1070336
ACHV,"Achieve Life Sciences, Inc. ",3.94,$26.48M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,949858
ACIA,"Acacia Communications, Inc.",51.71,$2.1B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,1651235
ACIU,AC Immune SA,5.13,$346.59M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,1651625
ACIW,"ACI Worldwide, Inc.",31.27,$3.46B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,935036
ACLS,"Axcelis Technologies, Inc.",16.48,$542.89M,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls,1113232
ACMR,"ACM Research, Inc.",18.72,$300.93M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,1680062
ACNB,ACNB Corporation,38.21,$269.37M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,715579
ACOR,"Acorda Therapeutics, Inc.",10.85,$521.88M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,1008848
ACRS,"Aclaris Therapeutics, Inc.",5.7,$235.25M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,1557746
ACRX,"AcelRx Pharmaceuticals, Inc.",3.2,$252.53M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,1427925
ACST,"Acasti Pharma, Inc.",0.795,$62.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,1444192
ACT,AdvisorShares Vice ETF,24.7232,$12.98M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act,884629
ACTG,Acacia Research Corporation,3.15,$156.5M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,934549
ACTTU,Act II Global Acquisition Corp.,10.07,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,
ACWI,iShares MSCI ACWI Index Fund,71.05,$10.27B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwi,
ACWX,iShares MSCI ACWI ex US Index Fund,45.1,$3.57B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwx,
ADAP,Adaptimmune Therapeutics plc,3.92,$410.53M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,1621227
ADBE,Adobe Inc.,267.7,$130.62B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,796343
ADES,"Advanced Emissions Solutions, Inc.",13.18,$245.8M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,1515156
ADI,"Analog Devices, Inc.",104.23,$38.39B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi,6281
ADIL,"Adial Pharmaceuticals, Inc",2.26,$23.05M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,1513525
ADILW,"Adial Pharmaceuticals, Inc",0.3501,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,1513525
ADMA,ADMA Biologics Inc,4.75,$220.31M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,1368514
ADMP,Adamis Pharmaceuticals Corporation,1.86,$88.24M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,887247
ADMS,"Adamas Pharmaceuticals, Inc.",5.48,$150.88M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,1328143
ADOM,"ADOMANI, Inc.",0.3598,$26.21M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,1563568
ADP,"Automatic Data Processing, Inc.",157.26,$68.44B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/adp,8670
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,30.1,$18.06M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adra,1169717
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,20.92,$34.52M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adrd,1169717
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,38.9001,$130.32M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adre,1169717
ADRO,"Aduro Biotech, Inc.",2.98,$238.53M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,1435049
ADRU,Invesco BLDRS Europe Select ADR Index Fund,20.64,$11.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adru,1169717
ADSK,"Autodesk, Inc.",164.93,$36.31B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adsk,769397
ADTN,"ADTRAN, Inc.",15.99,$764.47M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,926282
ADUS,Addus HomeCare Corporation,70.35,$927.4M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,1468328
ADVM,"Adverum Biotechnologies, Inc.",6.33,$401.54M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,1501756
ADXS,"Advaxis, Inc.",3.13,$25.06M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,1100397
ADYX,"Adynxx, Inc.",7.06,$41.02M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/adyx,
AEGN,Aegion Corp,15.63,$489.88M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,353020
AEHR,Aehr Test Systems,1.62,$36.55M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,1040470
AEIS,"Advanced Energy Industries, Inc.",47.27,$1.81B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,927003
AEMD,"Aethlon Medical, Inc.",0.4707,$8.92M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,882291
AERI,"Aerie Pharmaceuticals, Inc.",39.18,$1.8B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,1337553
AETI,"American Electric Technologies, Inc.",0.701,$6.52M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti,1043186
AEY,"ADDvantage Technologies Group, Inc.",1.25,$12.95M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,874292
AEYE,"AudioEye, Inc.",9.71,$74.02M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye,
AEZS,AEterna Zentaris Inc.,3.03,$49.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,1113423
AFH,"Atlas Financial Holdings, Inc.",0.8774,$10.47M,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afh,1539894
AFHBL,"Atlas Financial Holdings, Inc.",11.3,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afhbl,1539894
AFIN,"American Finance Trust, Inc.",10.31,$1.1B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin,1568162
AFINP,"American Finance Trust, Inc.",25.2,$30.24M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afinp,1568162
AFMD,Affimed N.V.,3.42,$213.51M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,1608390
AGBAU,AGBA Acquisition Limited,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agbau,
AGEN,Agenus Inc.,2.97,$398.75M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,1098972
AGFS,"AgroFresh Solutions, Inc.",2.68,$137.89M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,1592016
AGFSW,"AgroFresh Solutions, Inc.",0.0404,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,1592016
AGIO,"Agios Pharmaceuticals, Inc.",46.69,$2.74B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,1439222
AGLE,"Aeglea BioTherapeutics, Inc.",6.56,$189.24M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,1636282
AGMH,AGM Group Holdings Inc.,14.69,$487.94M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,1705402
AGNC,AGNC Investment Corp.,17.43,$9.35B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,1423689
AGNCB,AGNC Investment Corp.,25.42,$8.87B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,1423689
AGNCM,AGNC Investment Corp.,25.18,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm,1423689
AGNCN,AGNC Investment Corp.,25.75,"$334,750 ",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,1423689
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,42.27,$25.36M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agnd,
AGRX,"Agile Therapeutics, Inc.",1.38,$60.37M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,1261249
AGTC,Applied Genetic Technologies Corporation,4.06,$73.78M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agtc,1273636
AGYS,"Agilysys, Inc.",19.68,$463.17M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,78749
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.69,$81.07M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agzd,
AHPI,"Allied Healthcare Products, Inc.",1.68,$6.74M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,874710
AIA,iShares Asia 50 ETF,58.56,$1.05B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aia,
AIHS,Senmiao Technology Limited,4.57,$118.27M,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/aihs,1711012
AIMC,Altra Industrial Motion Corp.,34,$2.19B,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc,1374535
AIMT,"Aimmune Therapeutics, Inc.",20.11,$1.26B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,1631650
AINV,Apollo Investment Corporation,15.4,$1.07B,2004,n/a,n/a,https://www.nasdaq.com/symbol/ainv,1278752
AIPT,Precision Therapeutics Inc.,0.653,$19.59M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/aipt,1446159
AIQ,Global X Future Analytics Tech ETF,15.83,$40.36M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiq,817135
AIRG,"Airgain, Inc.",14.51,$145.99M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,1272842
AIRR,First Trust RBA American Industrial Renaissance ETF,24.4865,$74.68M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/airr,
AIRT,"Air T, Inc.",27.8,$56.28M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,353184
AITB,"AIT Therapeutics, Inc.",5.67,$48.75M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aitb,
AKAM,"Akamai Technologies, Inc.",74.45,$12.2B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,1086222
AKBA,"Akebia Therapeutics, Inc.",5.86,$690.67M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,1517022
AKCA,"Akcea Therapeutics, Inc.",21.67,$2.01B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,1662524
AKER,Akers Biosciences Inc.,0.6923,$8.64M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,1321834
AKRX,"Akorn, Inc.",4.09,$514.73M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,3116
AKTS,"Akoustis Technologies, Inc.",8.89,$265.93M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,
AKTX,Akari Therapeutics Plc,3.11,$49.32M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,1541157
ALAC,Alberton Acquisition Corporation,10,$146.9M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac,1748621
ALACR,Alberton Acquisition Corporation,0.22,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr,1748621
ALACU,Alberton Acquisition Corporation,10.26,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,1748621
ALACW,Alberton Acquisition Corporation,0.0799,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw,1748621
ALBO,"Albireo Pharma, Inc.",33.6,$404.52M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,1322505
ALCO,"Alico, Inc.",26.97,$201.47M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,3545
ALDR,"Alder BioPharmaceuticals, Inc.",10.65,$886.58M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,1423824
ALDX,"Aldeyra Therapeutics, Inc.",7.43,$204.25M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,1341235
ALEC,"Alector, Inc.",19.82,$1.37B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec,1653087
ALGN,"Align Technology, Inc.",310.15,$24.81B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,1097149
ALGR,Allegro Merger Corp.,9.99,$190.41M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr,1720025
ALGRR,Allegro Merger Corp.,0.26,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,1720025
ALGRU,Allegro Merger Corp.,10.47,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru,1720025
ALGRW,Allegro Merger Corp.,0.25,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,1720025
ALGT,Allegiant Travel Company,140.16,$2.28B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,1362468
ALIM,"Alimera Sciences, Inc.",0.93,$66.03M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,1267602
ALJJ,"ALJ Regional Holdings, Inc.",1.55,$58.94M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,1103926
ALKS,Alkermes plc,25.15,$3.95B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,1520262
ALLK,Allakos Inc.,40.7,$1.76B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,1564824
ALLO,"Allogene Therapeutics, Inc.",29.82,$3.62B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,1737287
ALLT,Allot Ltd.,7.25,$246.77M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,1365767
ALNA,"Allena Pharmaceuticals, Inc.",5.21,$108.45M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,1624658
ALNY,"Alnylam Pharmaceuticals, Inc.",68.77,$7.33B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,1178670
ALOT,"AstroNova, Inc.",25.4,$177.59M,1983,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/alot,8146
ALPN,"Alpine Immune Sciences, Inc.",5.9,$109.57M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,1626199
ALRM,"Alarm.com Holdings, Inc.",58.92,$2.85B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,1459200
ALRN,"Aileron Therapeutics, Inc.",1.3832,$36.95M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,1420565
ALSK,"Alaska Communications Systems Group, Inc.",1.74,$93.59M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,1089511
ALT,"Altimmune, Inc.",2.57,$34.57M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,1326190
ALTM,Altus Midstream Company,5.41,$1.76B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/altm,1692787
ALTR,Altair Engineering Inc.,34.05,$1.33B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,1701732
ALTY,Global X SuperDividend Alternatives ETF,14.7329,$20.63M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alty,
ALXN,"Alexion Pharmaceuticals, Inc.",125.92,$28.24B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,899866
ALYA,Alithya Group inc.,3.13,$151.63M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,1734520
AMAG,"AMAG Pharmaceuticals, Inc.",11.14,$376.16M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,792977
AMAL,Amalgamated Bank,17.45,$554.41M,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,
AMAT,"Applied Materials, Inc.",39.09,$37.11B,1972,Technology,Semiconductors,https://www.nasdaq.com/symbol/amat,6951
AMBA,"Ambarella, Inc.",45.14,$1.48B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,1280263
AMBC,"Ambac Financial Group, Inc.",16.69,$759.74M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,874501
AMBCW,"Ambac Financial Group, Inc.",7.6652,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,874501
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,27.95,$9.78M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amca,
AMCI,AMCI Acquisition Corp.,9.85,$271.52M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amci,1744494
AMCIU,AMCI Acquisition Corp.,10.18,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu,1744494
AMCIW,AMCI Acquisition Corp.,0.35,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw,1744494
AMCN,AirMedia Group Inc.,1.8,$22.62M,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn,1413745
AMCX,AMC Networks Inc.,54.39,$3.09B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,1514991
AMD,"Advanced Micro Devices, Inc.",26.24,$28.38B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,2488
AMED,Amedisys Inc,112.52,$3.61B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed,896262
AMEH,"Apollo Medical Holdings, Inc.",20,$715.36M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ameh,1083446
AMGN,Amgen Inc.,167.6,$102.23B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn,318154
AMKR,"Amkor Technology, Inc.",7.13,$1.71B,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr,1047127
AMNB,"American National Bankshares, Inc.",35.78,$399.59M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb,741516
AMOT,"Allied Motion Technologies, Inc.",35.23,$338.46M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,46129
AMOV,"America Movil, S.A.B. de C.V.",14.16,$46.74B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,1129137
AMPH,"Amphastar Pharmaceuticals, Inc.",20.88,$982.72M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph,1297184
AMR,"Alta Mesa Resources, Inc.",0.1973,$75.15M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,1690769
AMRB,American River Bankshares,12.52,$73.71M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb,1108236
AMRH,"Ameri Holdings, Inc.",0.34,$17.17M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,
AMRHW,"Ameri Holdings, Inc.",0.036,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,
AMRK,"A-Mark Precious Metals, Inc.",12.35,$86.84M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,1591588
AMRN,Amarin Corporation plc,16.27,$5.38B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,1120246
AMRS,"Amyris, Inc.",4.25,$367.21M,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs,1365916
AMRWW,"Alta Mesa Resources, Inc.",0.009,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,1690769
AMSC,American Superconductor Corporation,10.66,$228.31M,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc,880807
AMSF,"AMERISAFE, Inc.",58.98,$1.14B,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf,1018979
AMSWA,"American Software, Inc.",12.93,$402.44M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa,713425
AMTB,Mercantil Bank Holding Corporation,17.89,$772.93M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb,1734342
AMTBB,Mercantil Bank Holding Corporation,12.105,$172.12M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtbb,1734342
AMTD,TD Ameritrade Holding Corporation,51.47,$28.48B,1997,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/amtd,1173431
AMTX,"Aemetis, Inc",1.08,$22.01M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,738214
AMWD,American Woodmark Corporation,88.47,$1.49B,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd,794619
AMZN,"Amazon.com, Inc.",1822.68,$897.36B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,1018724
ANAB,"AnaptysBio, Inc.",71.96,$1.94B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab,1370053
ANAT,American National Insurance Company,114.02,$3.07B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat,904163
ANCN,Anchiano Therapeutics Ltd.,5.7,$38.88M,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ancn,1534248
ANDA,Andina Acquisition Corp. III,9.83,$136.59M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/anda,1691936
ANDAR,Andina Acquisition Corp. III,0.28,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andar,1691936
ANDAU,Andina Acquisition Corp. III,10.22,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andau,1691936
