Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK
PLT,"Plantronics, Inc.",44.87,1773243734.08,,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/plt,NYSE,0000914025
AGS,"PlayAGS, Inc.",19.63,695116300.71,,2018,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/ags,NYSE,0001593548
PHI,PLDT Inc.,25.55,5520225051.25,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/phi,NYSE,0000078150
PNC,"PNC Financial Services Group, Inc. (The)",131.97,59576261774.52,,,Finance,Major Banks,https://www.nasdaq.com/symbol/pnc,NYSE,0000713676
PNC^P,"PNC Financial Services Group, Inc. (The)",26.78,0,,,,,https://www.nasdaq.com/symbol/pnc^p,NYSE,
PNC^Q,"PNC Financial Services Group, Inc. (The)",25.12,0,,,,,https://www.nasdaq.com/symbol/pnc^q,NYSE,
PNM,"PNM Resources, Inc. (Holding Co.)",47.48,3781954067.52,,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnm,NYSE,0001108426
PII,Polaris Industries Inc.,86.34,5272839316.62,,,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/pii,NYSE,0000931015
POL,PolyOne Corporation,25.22,1962498183.88,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pol,NYSE,0001122976
POR,Portland General Electric Company,53.65,4793980087.8,,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/por,NYSE,0000784977
PKX,POSCO,47.98,15375793820.72,,1994,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/pkx,NYSE,0000889132
POST,"Post Holdings, Inc.",107.65,7891386055.75,,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/post,NYSE,0001530950
PSTL,"Postal Realty Trust, Inc.",16.25,86332902.5,,2019,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pstl,NYSE,0001759774
PPDF,PPDAI Group Inc.,5.14,1528399729.62,,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ppdf,NYSE,0001691445
PPG,"PPG Industries, Inc.",107.75,25435461013.25,,,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/ppg,NYSE,0000079879
PPX,"PPL Capital Funding, Inc.",25.35,0,,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppx,NYSE,0001047459
PPL,PPL Corporation,30.8,22229662901.6,,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppl,NYSE,0000922224
PYS,PPlus Trust,15.94,0,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pys,NYSE,0001260395
PYT,PPlus Trust,20.05,0,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pyt,NYSE,0001260395
PQG,PQ Group Holdings Inc.,15.4,2090285274,,2017,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pqg,NYSE,0001708035
PDS,Precision Drilling Corporation,1.9,558060088.4,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pds,NYSE,0001013605
APTS,"Preferred Apartment Communities, Inc.",16.37,709731777.69,,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/apts,NYSE,0001481832
PBH,Prestige Consumer Healthcare Inc.,29.79,1543073859.36,,2005,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pbh,NYSE,0001295947
PVG,"Pretium Resources, Inc.",7.93,1460611561.63,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pvg,NYSE,0001508844
PRI,"Primerica, Inc.",120.22,5090253533.88,,2010,Finance,Life Insurance,https://www.nasdaq.com/symbol/pri,NYSE,0001475922
