"","Symbol","Name","LastSale","MarketCap","ADR.TSO","IPOyear","Sector","Industry","Summary.Quote","X.x","X.y","finance_site","website","description","keywords"
"1970","PFSW","PFSweb, Inc.","3.98",77267668.26,"n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/pfsw",NA,1985,"https://finance.yahoo.com/quote/PFSW","http://www.pfsweb.com","PFS is a Global eCommerce Solutions Provider delivering consulting, technology, operations &amp; digital agency services to create commerce without compromise.",NA
"1971","PGC","Peapack-Gladstone Financial Corporation","27.43",533413737.09,"n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/pgc",NA,1960,"https://finance.yahoo.com/quote/PGC","http://www.pgbank.com","",""
"1972","PGNX","Progenics Pharmaceuticals Inc.","4.65",393122690.1,"n/a","1997","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/pgnx",NA,2046,"https://finance.yahoo.com/quote/PGNX","http://www.progenics.com","Progenics is focused on developing innovative drugs to improve the lives of prostate cancer patients and their families. Learn more about our therapeutic technologies.",NA
"1973","PGTI","PGT Innovations, Inc.","15.11",881626388.43,"n/a","2006","Capital Goods","Building Products","https://www.nasdaq.com/symbol/pgti",NA,1986,"https://finance.yahoo.com/quote/PGTI","http://pgtinnovations.com",NA,NA
"1974","PHAS","PhaseBio Pharmaceuticals, Inc.","10.75",307739712.5,"n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/phas",NA,1987,"https://finance.yahoo.com/quote/PHAS","http://www.phasebio.com",NA,NA
"1975","PHCF","PUHUI WEALTH INVESTMENT MANAGEMENT CO., LTD.","2.89",34680000,"n/a","2018","Finance","Investment Managers","https://www.nasdaq.com/symbol/phcf",NA,2065,"https://finance.yahoo.com/quote/PHCF","http://www.puhuiwealth.com","普惠财富顺利登陆纳斯达克,股票代码“PHCF”,募资规模超过900万美元。继宜信、诺亚和钜派之后,又一家在美国上市的中国财富管理公司","普惠财富，美国上市，管理财富公司，股票代码PHCF"
"1976","PHIO","Phio Pharmaceuticals Corp.","0.456",10893444.192,"n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/phio",NA,1989,"https://finance.yahoo.com/quote/PHIO","https://phiopharma.com",NA,NA
"1977","PHIOW","Phio Pharmaceuticals Corp.","0.03",0,"n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/phiow",NA,1990,"https://finance.yahoo.com/quote/PHIOW","https://phiopharma.com",NA,NA
"1978","PHUN","Phunware, Inc.","6.02",234107475.7,"n/a","2016","Technology","EDP Services","https://www.nasdaq.com/symbol/phun",NA,1992,"https://finance.yahoo.com/quote/PHUN","http://www.phunware.com",NA,NA
"1979","PI","Impinj, Inc.","24.65",533109765.15,"n/a","2016","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/pi",NA,1301,"https://finance.yahoo.com/quote/PI","http://www.impinj.com","Impinj wirelessly connects billions of everyday items to applications, delivering real-time information to businesses and enabling the Internet of Things.",NA
"1980","PICO","PICO Holdings Inc.","11.39",230645016.98,"n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/pico",NA,1993,"https://finance.yahoo.com/quote/PICO","http://www.picoholdings.com","PICO Holdings","PICO Holdings, diversified holdings, investment company, business investment, best investment, gold investment, holdings, holding company"
"1981","PIH","1347 Property Insurance Holdings, Inc.","5.8",34874031.2,"n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",NA,2,"https://finance.yahoo.com/quote/PIH","http://www.1347pih.com",NA,NA
